Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
modDyeMaximumBluePurple420,item_modifiers,mod,New,Dye: (Maximum) Blue Purple,,,,,
modDyeMaximumGreen420,item_modifiers,mod,New,Dye: (Maximum) Green,,,,,
modDyeMaximumGreenYellow420,item_modifiers,mod,New,Dye: (Maximum) Green Yellow,,,,,
modDyeMaximumOrange420,item_modifiers,mod,New,Dye: (Maximum) Orange,,,,,
modDyeMaximumPurple420,item_modifiers,mod,New,Dye: (Maximum) Purple,,,,,
modDyeMaximumPink420,item_modifiers,mod,New,Dye: (Maximum) Pink,,,,,
modDyeMaximumRed420,item_modifiers,mod,New,Dye: (Maximum) Red,,,,,
modDyeMaximumRedPurple420,item_modifiers,mod,New,Dye: (Maximum) Red Purple,,,,,
modDyeMaximumViolet420,item_modifiers,mod,New,Dye: (Maximum) Violet,,,,,
modDyeMaximumYellow420,item_modifiers,mod,New,Dye: (Maximum) Yellow,,,,,
modDyeMaximumYellowRed420,item_modifiers,mod,New,Dye: (Maximum) Yellow Red,,,,,

modDyeMetallicBlue420,item_modifiers,mod,New,Dye: (Metallic) Blue,,,,,
modDyeMetallicBronze420,item_modifiers,mod,New,Dye: (Metallic) Bronze,,,,,
modDyeMetallicBrown420,item_modifiers,mod,New,Dye: (Metallic) Brown,,,,,
modDyeMetallicGold420,item_modifiers,mod,New,Dye: (Metallic) Gold,,,,,
modDyeMetallicGreen420,item_modifiers,mod,New,Dye: (Metallic) Green,,,,,
modDyeMetallicOrange420,item_modifiers,mod,New,Dye: (Metallic) Orange,,,,,
modDyeMetallicPink420,item_modifiers,mod,New,Dye: (Metallic) Pink,,,,,
modDyeMetallicRed420,item_modifiers,mod,New,Dye: (Metallic) Red,,,,,
modDyeMetallicSeaweed420,item_modifiers,mod,New,Dye: (Metallic) Seaweed,,,,,
modDyeMetallicSilver420,item_modifiers,mod,New,Dye: (Metallic) Silver,,,,,
modDyeMetallicSunburst420,item_modifiers,mod,New,Dye: (Metallic) Sunburst,,,,,
modDyeMetallicViolet420,item_modifiers,mod,New,Dye: (Metallic) Violet,,,,,
modDyeMetallicYellow420,item_modifiers,mod,New,Dye: (Metallic) Yellow,,,,,

modDyeNeonBlue420,item_modifiers,mod,New,Dye: (Neon) Blue,,,,,
modDyeNeonCyan420,item_modifiers,mod,New,Dye: (Neon) Cyan,,,,,
modDyeNeonFuchsia420,item_modifiers,mod,New,Dye: (Neon) Fuchsia,,,,,
modDyeNeonGreen420,item_modifiers,mod,New,Dye: (Neon) Green,,,,,
modDyeNeonLime420,item_modifiers,mod,New,Dye: (Neon) Lime,,,,,
modDyeNeonOrange420,item_modifiers,mod,New,Dye: (Neon) Orange,,,,,
modDyeNeonPink420,item_modifiers,mod,New,Dye: (Neon) Pink,,,,,
modDyeNeonPurple420,item_modifiers,mod,New,Dye: (Neon) Purple,,,,,
modDyeNeonRed420,item_modifiers,mod,New,Dye: (Neon) Red,,,,,
modDyeNeonTurquoise420,item_modifiers,mod,New,Dye: (Neon) Turquoise,,,,,
modDyeNeonYellow420,item_modifiers,mod,New,Dye: (Neon) Yellow,,,,,

modDyePaleAqua420,item_modifiers,mod,New,Dye: (Pale) Aqua,,,,,
modDyePaleBlue420,item_modifiers,mod,New,Dye: (Pale) Blue,,,,,
modDyePaleBrown420,item_modifiers,mod,New,Dye: (Pale) Brown,,,,,
modDyePaleCarmine420,item_modifiers,mod,New,Dye: (Pale) Carmine,,,,,
modDyePaleCerulean420,item_modifiers,mod,New,Dye: (Pale) Cerulean,,,,,
modDyePaleChestnut420,item_modifiers,mod,New,Dye: (Pale) Chestnut,,,,,
modDyePaleCopper420,item_modifiers,mod,New,Dye: (Pale) Copper,,,,,
modDyePaleCornflower420,item_modifiers,mod,New,Dye: (Pale) Cornflower,,,,,
modDyePaleCyan420,item_modifiers,mod,New,Dye: (Pale) Cyan,,,,,
modDyePaleGold420,item_modifiers,mod,New,Dye: (Pale) Gold,,,,,
modDyePaleGoldenrod420,item_modifiers,mod,New,Dye: (Pale) Goldenrod,,,,,
modDyePaleGreen420,item_modifiers,mod,New,Dye: (Pale) Green,,,,,
modDyePaleLavender420,item_modifiers,mod,New,Dye: (Pale) Lavender,,,,,
modDyePaleMagenta420,item_modifiers,mod,New,Dye: (Pale) Magenta,,,,,
modDyePaleRose420,item_modifiers,mod,New,Dye: (Pale) Rose,,,,,
modDyePalePink420,item_modifiers,mod,New,Dye: (Pale) Pink,,,,,
modDyePalePlum420,item_modifiers,mod,New,Dye: (Pale) Plum,,,,,
modDyePaleRed420,item_modifiers,mod,New,Dye: (Pale) Red,,,,,
modDyePaleRobinEgg420,item_modifiers,mod,New,Dye: (Pale) Robin Egg,,,,,
modDyePaleSilver420,item_modifiers,mod,New,Dye: (Pale) Silver,,,,,
modDyePaleSpringBud420,item_modifiers,mod,New,Dye: (Pale) Spring Bud,,,,,
modDyePaleTaupe420,item_modifiers,mod,New,Dye: (Pale) Taupe,,,,,
modDyePaleTurquoise420,item_modifiers,mod,New,Dye: (Pale) Turquoise,,,,,
modDyePaleViolet420,item_modifiers,mod,New,Dye: (Pale) Violet,,,,,

modDyePastelBlue420,item_modifiers,mod,New,Dye: (Pastel) Blue,,,,,
modDyePastelBronze420,item_modifiers,mod,New,Dye: (Pastel) Bronze,,,,,
modDyePastelBrown420,item_modifiers,mod,New,Dye: (Pastel) Brown,,,,,
modDyePastelGrey420,item_modifiers,mod,New,Dye: (Pastel) Grey,,,,,
modDyePastelGreen420,item_modifiers,mod,New,Dye: (Pastel) Green,,,,,
modDyePastelMagenta420,item_modifiers,mod,New,Dye: (Pastel) Magenta,,,,,
modDyePastelOrange420,item_modifiers,mod,New,Dye: (Pastel) Orange,,,,,
modDyePastelPink420,item_modifiers,mod,New,Dye: (Pastel) Pink,,,,,
modDyePastelPurple420,item_modifiers,mod,New,Dye: (Pastel) Purple,,,,,
modDyePastelRed420,item_modifiers,mod,New,Dye: (Pastel) Red,,,,,
modDyePastelViolet420,item_modifiers,mod,New,Dye: (Pastel) Violet,,,,,
modDyePastelYellow420,item_modifiers,mod,New,Dye: (Pastel) Yellow,,,,,

modDyePersianBlue420,item_modifiers,mod,New,Dye: (Persian) Blue,,,,,
modDyePersianGreen420,item_modifiers,mod,New,Dye: (Persian) Green,,,,,
modDyePersianIndigo420,item_modifiers,mod,New,Dye: (Persian) Indigo,,,,,
modDyePersianOrange420,item_modifiers,mod,New,Dye: (Persian) Orange,,,,,
modDyePersianPink420,item_modifiers,mod,New,Dye: (Persian) Pink,,,,,
modDyePersianPlum420,item_modifiers,mod,New,Dye: (Persian) Plum,,,,,
modDyePersianRed420,item_modifiers,mod,New,Dye: (Persian) Red,,,,,
modDyePersianRose420,item_modifiers,mod,New,Dye: (Persian) Rose,,,,,

modDyePhillipineBlue420,item_modifiers,mod,New,Dye: (Phillipine) Blue,,,,,
modDyePhillipineBronze420,item_modifiers,mod,New,Dye: (Phillipine) Bronze,,,,,
modDyePhillipineBrown420,item_modifiers,mod,New,Dye: (Phillipine) Brown,,,,,
modDyePhillipineGold420,item_modifiers,mod,New,Dye: (Phillipine) Gold,,,,,
modDyePhillipineGoldenYellow420,item_modifiers,mod,New,Dye: (Phillipine) Golden Yellow,,,,,
modDyePhillipineGreen420,item_modifiers,mod,New,Dye: (Phillipine) Green,,,,,
modDyePhillipineGrey420,item_modifiers,mod,New,Dye: (Phillipine) Grey,,,,,
modDyePhillipineIndigo420,item_modifiers,mod,New,Dye: (Phillipine) Indigo,,,,,
modDyePhillipineOrange420,item_modifiers,mod,New,Dye: (Phillipine) Orange,,,,,
modDyePhillipinePink420,item_modifiers,mod,New,Dye: (Phillipine) Pink,,,,,
modDyePhillipineRed420,item_modifiers,mod,New,Dye: (Phillipine) Red,,,,,
modDyePhillipineSilver420,item_modifiers,mod,New,Dye: (Phillipine) Silver,,,,,
modDyePhillipineSkyBlue420,item_modifiers,mod,New,Dye: (Phillipine) Sky Blue,,,,,
modDyePhillipineViolet420,item_modifiers,mod,New,Dye: (Phillipine) Violet,,,,,
modDyePhillipineYellow420,item_modifiers,mod,New,Dye: (Phillipine) Yellow,,,,,

modDyeRoyalBlue420,item_modifiers,mod,New,Dye: (Royal) Blue,,,,,
modDyeRoyalAzure420,item_modifiers,mod,New,Dye: (Royal) Azure,,,,,
modDyeRoyalFuchsia420,item_modifiers,mod,New,Dye: (Royal) Fuchsia,,,,,
modDyeRoyalGreen420,item_modifiers,mod,New,Dye: (Royal) Green,,,,,
modDyeRoyalBrown420,item_modifiers,mod,New,Dye: (Royal) Brown,,,,,
modDyeRoyalOrange420,item_modifiers,mod,New,Dye: (Royal) Orange,,,,,
modDyeRoyalPink420,item_modifiers,mod,New,Dye: (Royal) Pink,,,,,
modDyeRoyalPurple420,item_modifiers,mod,New,Dye: (Royal) Purple,,,,,
modDyeRoyalRed420,item_modifiers,mod,New,Dye: (Royal) Red,,,,,
modDyeRoyalYellow420,item_modifiers,mod,New,Dye: (Royal) Yellow,,,,,

modDyeSpanishBlue420,item_modifiers,mod,New,Dye: (Spanish) Blue,,,,,
modDyeSpanishBistre420,item_modifiers,mod,New,Dye: (Spanish) Bistre,,,,,
modDyeSpanishCarmine420,item_modifiers,mod,New,Dye: (Spanish) Carmine,,,,,
modDyeSpanishCrimson420,item_modifiers,mod,New,Dye: (Spanish) Crimson,,,,,
modDyeSpanishGreen420,item_modifiers,mod,New,Dye: (Spanish) Green,,,,,
modDyeSpanishOrange420,item_modifiers,mod,New,Dye: (Spanish) Orange,,,,,
modDyeSpanishPink420,item_modifiers,mod,New,Dye: (Spanish) Pink,,,,,
modDyeSpanishRed420,item_modifiers,mod,New,Dye: (Spanish) Red,,,,,
modDyeSpanishGrey420,item_modifiers,mod,New,Dye: (Spanish) Grey,,,,,
modDyeSpanishPurple420,item_modifiers,mod,New,Dye: (Spanish) Purple,,,,,
modDyeSpanishViridian420,item_modifiers,mod,New,Dye: (Spanish) Viridian,,,,,
modDyeSpanishViolet420,item_modifiers,mod,New,Dye: (Spanish) Violet,,,,,
modDyeSpanishYellow420,item_modifiers,mod,New,Dye: (Spanish) Yellow,,,,,

modDyeBubbleGumPink420,item_modifiers,mod,New,Dye: (User) Bubble Gum Pink,,,,,

DyesExpBasicSchematic,item_modifiers,mod,New,Basic Dye Group Schematic,,,,,
DyesExpAFSchematic,item_modifiers,mod,New,Armed Forces Dye Group Schematic,,,,,
DyesExpLeatherSchematic,item_modifiers,mod,New,Leather Dye Group Schematic,,,,,
DyesExpMaximumSchematic,item_modifiers,mod,New,Maximum Dye Group Schematic,,,,,
DyesExpMetallicSchematic,item_modifiers,mod,New,Metallic Dye Group Schematic,,,,,
DyesExpNeonSchematic,item_modifiers,mod,New,Neon Dye Group Schematic,,,,,
DyesExpPaleSchematic,item_modifiers,mod,New,Pale Dye Group Schematic,,,,,
DyesExpPastelSchematic,item_modifiers,mod,New,Pastel Dye Group Schematic,,,,,
DyesExpPersianSchematic,item_modifiers,mod,New,Persian Dye Group Schematic,,,,,
DyesExpPhillipineSchematic,item_modifiers,mod,New,Phillipine Dye Group Schematic,,,,,
DyesExpRoyalSchematic,item_modifiers,mod,New,Royal Dye Group Schematic,,,,,
DyesExpSpanishSchematic,item_modifiers,mod,New,Spanish Dye Group Schematic,,,,,
