Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
AlertnessTooltip,buffs,Buff,,,You need to wind down.,,Du musst dich beruhigen.,Necesitas calmarte.,Tu as besoin de te calmer.,Hai bisogno di calmarti.,落ち着く必要があります。,진정해야 합니다.,Musisz się uspokoić.  ,Você precisa se acalmar.,Тебе нужно успокоиться.  ,Sakinleşmen gerekiyor.  ,你需要冷静下来。,你需要冷靜下來。
Insomnia,buffs,Buff,,,Insomnia,,Insomnie,Insomnio,Insomnie,Insonnia,不眠症,불면증,Bezsenność  ,Insônia,Бессонница  ,Uykusuzluk  ,失眠,失眠症
InsomniaDesc,buffs,Buff,,,"For whatever reason, you cannot get proper shut-eye today.\n\nTake some time off coffee and stimulants to lower the chance of this happening again.\nGoing to bed while drunk is also a bad idea.\nSleeping timely and safely will also help.\n\nIf nothing else works, try sedatives.",,"Aus irgendeinem Grund kannst du heute Nacht nicht gut schlafen.\n\nLass Kaffee und Stimulanzien für eine Weile weg, um die Wahrscheinlichkeit zu verringern, dass dies erneut auftritt.\nBetrunken ins Bett zu gehen, ist auch keine gute Idee.\nPünktlich und an einem sicheren Ort zu schlafen, wird ebenfalls helfen.\n\nWenn nichts anderes funktioniert, probiere Sedativa.","Por alguna razón, hoy no puedes dormir bien.\n\nDeja el café y los estimulantes por un tiempo para reducir la probabilidad de que esto vuelva a ocurrir.\nIr a la cama borracho tampoco es una buena idea.\nIr a dormir a tiempo y en un lugar seguro también ayudará.\n\nSi nada más funciona, prueba sedantes.","Pour une raison quelconque, tu ne peux pas bien dormir aujourd'hui.\n\nÉvite le café et les stimulants pendant un certain temps pour réduire la probabilité que cela se reproduise.\nAller au lit ivre n'est pas non plus une bonne idée.\nAller dormir à l'heure et dans un endroit sûr aidera également.\n\nSi rien d'autre ne fonctionne, essaie des sédatifs.","Per qualche motivo, oggi non riesci a dormire bene.\n\nSmetti di prendere caffè e stimolanti per un po' per ridurre la probabilità che questo si ripeta.\nAndare a letto ubriaco non è una buona idea.\nAndare a dormire in orario e in un posto sicuro aiuterà.\n\nSe nient'altro funziona, prova i sedativi.",今日はなぜかよく眠れません。\n\nしばらくカフェインや刺激物を控えて、再発を防ぎましょう。\n酔って寝るのも良い考えではありません。\n時間を守って安全な場所で寝ることも役立ちます。\n\n他に何も効かない場合は、鎮静剤を試してください。,어떤 이유로 오늘은 잠을 잘 잘 수 없습니다.\n\n커피와 자극제를 잠시 끊어 이 상황이 다시 발생할 가능성을 줄이세요.\n술에 취해 잠드는 것도 좋은 생각이 아닙니다.\n제 시간에 안전한 곳에서 잠드는 것도 도움이 됩니다.\n\n다른 방법이 통하지 않으면 진정제를 시도하세요.,"Z jakiegoś powodu dzisiaj nie możesz dobrze spać.\n\nOdstaw kawę i stymulanty na chwilę, aby zmniejszyć prawdopodobieństwo, że to się powtórzy.\nIść spać pijanym też nie jest dobrym pomysłem.\nWłaściwy czas na sen i bezpieczne miejsce również pomogą.\n\nJeśli nic innego nie działa, spróbuj środków uspokajających.  ","Por algum motivo, hoje você não consegue dormir bem.\n\nDeixe o café e os estimulantes por um tempo para reduzir a probabilidade de isso acontecer novamente.\nIr para a cama bêbado também não é uma boa ideia.\nIr para a cama a tempo e em um lugar seguro também ajudará.\n\nSe nada mais funcionar, experimente sedativos.","По какой-то причине сегодня ты не можешь хорошо спать.\n\nОткажись от кофе и стимуляторов на время, чтобы уменьшить вероятность повторения этого.\nЛожиться спать пьяным тоже не лучшая идея.\nЛожиться спать вовремя и в безопасном месте тоже поможет.\n\nЕсли ничего другого не помогает, попробуй седативные средства.  ","Bir şekilde bugün iyi uyuyamıyorsun.\n\nBunun tekrar olma olasılığını azaltmak için bir süre kahve ve uyarıcılardan uzak dur.\nSarhoşken yatmak da iyi bir fikir değil.\nZamanında ve güvenli bir yerde uyumak da yardımcı olacaktır.\n\nEğer başka bir şey işe yaramazsa, sakinleştirici dene.  ",不知为何，今天你无法好好入睡。\n\n暂时远离咖啡和刺激物，以减少这种情况再次发生的概率。\n喝酒睡觉也不是个好主意。\n按时上床睡觉并在安全的地方入睡也会有帮助。\n\n如果其他方法都无效，试试镇静剂。,不知為何，你今天無法好好入睡。\n\n暫時遠離咖啡和刺激物，以減少這種情況再次發生的可能性。\n喝醉後上床睡覺也不是好主意。\n按時上床睡覺和選擇安全的地方也會有幫助。\n\n如果這些都不起作用，試試鎮靜劑。
InsomniaTooltip,buffs,Buff,,,You might as well give up trying to sleep today.,,Du kannst die Idee des Schlafens für heute aufgeben.,Puedes renunciar a la idea de dormir por hoy.,Tu peux abandonner l'idée de dormir pour aujourd'hui.,Puoi rinunciare all'idea di dormire per oggi.,今日は寝るのを諦めてもいいかもしれません。,오늘은 잠드는 것을 포기하세요.,Możesz zrezygnować z pomysłu na sen na dzisiaj.  ,Você pode desistir da ideia de dormir por hoje.,Ты можешь отказаться от идеи спать сегодня.  ,Bugün uyuma fikrinden vazgeçebilirsin.  ,你可以放弃今天的睡眠了。,你今天可以放棄睡覺的念頭了。
Stimulants,buffs,Buff,,,Stimulants,,Stimulanzien,Estimulantes,Stimulants,Stimolanti,刺激物,자극제,Stymulanty  ,Estimulantes,Стимуляторы  ,Uyarıcılar  ,刺激物,刺激劑
StimulantsDesc,buffs,Buff,,,"You got these without prescription, but no one needs to know…\n\nThey negate the effects of sleep deprivation and give you lots of energy. Fine print: may cause insomnia.",,"Du hast diese ohne Rezept bekommen, aber niemand muss das wissen...\n\nSie heben die Effekte des Schlafentzugs auf und geben dir viel Energie.\n\nKleingedrucktes: können Insomnie verursachen.","Conseguiste estos sin receta, pero nadie necesita saberlo...\n\nAnulan los efectos de la privación del sueño y te dan mucha energía.\n\nLetra pequeña: pueden causar insomnio.","Tu as obtenu ceux-ci sans ordonnance, mais personne n'a besoin de le savoir...\n\nAnnulent les effets de la privation de sommeil et te donnent beaucoup d'énergie.\n\nEn petits caractères : peuvent causer de l'insomnie.","Hai ottenuto questi senza prescrizione, ma nessuno deve saperlo...\n\nAnnullano gli effetti della privazione del sonno e ti danno molta energia.\n\nNota: possono causare insonnia.",これらは処方箋なしで手に入れましたが、誰も知る必要はありません...\n\n睡眠不足の効果を打ち消し、たくさんのエネルギーを与えます。\n\n細字: 不眠症を引き起こすことがあります。,처방전 없이 이것들을 구했지만 아무도 알 필요는 없습니다...\n\n수면 박탈의 영향을 무효화하고 많은 에너지를 줍니다.\n\n작은 글씨: 불면증을 유발할 수 있습니다.,"Dostałeś te bez recepty, ale nikt nie musi o tym wiedzieć...\n\nZnieszkodliwiają efekty deprywacji snu i dają ci dużo energii.\n\nDrobny druk: mogą powodować bezsenność.  ","Você conseguiu esses sem receita, mas ninguém precisa saber...\n\nAnulam os efeitos da privação do sono e te dão muita energia.\n\nPequena letra: podem causar insônia.","Ты получил это без рецепта, но никому не нужно об этом знать...\n\nОни нейтрализуют эффекты недостатка сна и дают тебе много энергии.\n\nМелкий шрифт: могут вызвать бессонницу.  ",Bunları reçetesiz edindin ama kimsenin bunu bilmesine gerek yok...\n\nUyku giderimin etkilerini iptal eder ve sana bolca enerji verir.\n\nKüçük harflerle: uykusuzluğa neden olabilir.  ,你在没有处方的情况下得到了这些，但没有人需要知道...\n\n它们能消除睡眠剥夺的影响，并给你带来大量的能量。\n\n小字：可能会导致失眠。,你獲得了這些未經處方的藥物，但沒人需要知道這點...\n\n它們可以抵消失眠的效果並給你提供大量能量。\n\n小字註：可能會引起失眠。
StimulantsTooltip,buffs,Buff,,,A little pick-me-up goes a long way.,,Ein kleiner Schub hilft immer.,Un pequeño impulso siempre ayuda.,Un petit coup de pouce aide toujours.,Un piccolo impulso aiuta sempre.,小さなブーストはいつも助けになります。,작은 자극이 항상 도움이 됩니다.,Mały zastrzyk zawsze pomaga.  ,Um pequeno impulso sempre ajuda.,Небольшой импульс всегда помогает.  ,Küçük bir destek her zaman yardımcı olur.  ,小小的刺激总是有帮助的。,小小的提神總是有幫助的。
Sedatives,buffs,Buff,,,Sedatives,,Sedativa,Sedantes,Sédatifs,Sedativi,鎮静剤,진정제,Środki uspokajające  ,Sedativos,Седативные средства  ,Sakinleştiriciler  ,镇静剂,鎮靜劑
SedativesDesc,buffs,Buff,,,"These “Sedative” branded sedatives may not look or taste good, but boy do they work!\n\nIf these don’t put you to sleep, nothing will.",,"Diese Sedativa der Marke ""Sedative"" sehen vielleicht nicht gut aus und schmecken auch nicht, aber sie wirken!\n\nWenn diese dich nicht zum Schlafen bringen, wird nichts helfen.","Estos sedantes de marca ""Sedante"" pueden no verse o saber bien, ¡pero vaya si funcionan!\n\nSi estos no te hacen dormir, nada lo hará.","Ces sédatifs de marque ""Sédatif"" peuvent ne pas avoir bon goût ou être agréables, mais ils fonctionnent vraiment!\n\nSi ceux-ci ne te font pas dormir, rien ne le fera.","Questi sedativi della marca ""Sedativo"" possono non sembrare o sapere bene, ma funzionano!\n\nSe questi non ti fanno dormire, niente lo farà.",このブランドの「鎮静剤」は見た目も味も良くないかもしれませんが、効果は抜群です！\n\nこれで寝られないなら、何も効きません。,"이 ""진정제"" 브랜드의 진정제는 맛이나 모양이 좋지 않을 수도 있지만, 효과는 확실합니다!\n\n이것들로 잠들지 않으면 아무것도 소용없습니다.","Te środki uspokajające marki ""Środek Uspokajający"" mogą nie wyglądać lub smakować dobrze, ale działają!\n\nJeśli te nie pozwolą ci zasnąć, nic nie zadziała.  ","Esses sedativos da marca ""Sedativo"" podem não parecer ou saber bem, mas funcionam!\n\nSe esses não te fizerem dormir, nada o fará.","Эти седативные средства под маркой ""Седативное"" могут не выглядеть или не иметь хороший вкус, но они действительно работают!\n\nЕсли они не заставят тебя спать, ничто не поможет.  ","Bu ""Sakinleştirici"" markalı sakinleştiriciler iyi görünmeyebilir veya tadı kötü olabilir, ama gerçekten işe yarıyor!\n\nBunlar seni uyutmazsa, hiçbiri uyutmaz.  ",这些“镇静剂”品牌的药物可能看起来不怎么样，味道也不好，但效果确实很显著！\n\n如果这些药物不能让你入睡，那就没有什么能做到。,這些標誌為「鎮靜劑」的藥物可能看起來或味道都不好，但效果卻很顯著！\n\n如果這些藥物不能讓你入睡，沒有什麼能做到。
SedativesTooltip,buffs,Buff,,,You are officially ready to hit the sack!,,Du bist offiziell bereit zu schlafen!,¡Estás oficialmente listo para dormir!,Tu es officiellement prêt à dormir!,Sei ufficialmente pronto per dormire!,あなたは正式に寝る準備ができました！,공식적으로 잠잘 준비가 되었습니다!,Jesteś oficjalnie gotowy do snu!  ,Você está oficialmente pronto para dormir!,Ты официально готов ко сну!  ,Resmen uyumak için hazırsın!  ,你现在正式准备好入睡了！,你已經準備好正式入睡了！
SleepS1,buffs,Buff,,,Trying To Sleep…,,Versucht zu Schlafen…,Tratando de Dormir…,Essayant de Dormir…,Cercando di Dormire…,眠ろうとしている…,잠들려고 시도 중…,Próbując zasnąć…  ,Tentando Dormir…,Пытаясь уснуть…  ,Uyumaya Çalışıyor…  ,尝试入睡中…,嘗試入睡…
SleepS1Desc,buffs,Buff,,,"Better to count sheep than zombies.\n\nMany factors influence how long it takes you to fall asleep, and they won’t be listed here because you will surely fall asleep faster than you would finish reading them.",,"Besser Schafe zählen als Zombies.\n\nViele Faktoren beeinflussen, wie lange es dauert, bis du einschläfst, und sie werden hier nicht aufgelistet, weil du wahrscheinlich schneller einschlafen wirst, als du sie lesen könntest.","Mejor contar ovejas que zombis.\n\nMuchos factores influyen en cuánto tiempo te lleva quedarte dormido, y no se enumerarán aquí porque seguramente te dormirás más rápido de lo que tardarías en leerlos.","Mieux vaut compter les moutons que les zombies.\n\nDe nombreux facteurs influencent le temps qu'il te faut pour t'endormir, et ils ne seront pas listés ici car tu t'endormiras sûrement plus vite que tu ne les lirais.","Meglio contare le pecore che i zombi.\n\nMolti fattori influenzano quanto tempo impieghi ad addormentarti, e non saranno elencati qui perché probabilmente ti addormenterai più velocemente di quanto impiegheresti a leggerli.",羊を数えるのはゾンビを数えるよりも良いです。\n\n多くの要因がどれくらいの時間で眠れるかに影響しますが、ここではリストアップしません。読むのにかかる時間よりも早く寝つくでしょう。,"좀비보다는 양을 세는 것이 낫습니다.\n\n잠드는 데 걸리는 시간에 영향을 미치는 많은 요인들이 있지만, 여기서는 언급되지 않습니다. 왜냐하면 당신이 읽는 것보다 빨리 잠들 가능성이 높기 때문입니다.","Lepiej liczyć owce niż zombie.\n\nWiele czynników wpływa na to, jak długo zajmuje ci zaśnięcie, a nie będą one tu wymienione, ponieważ na pewno zaśniesz szybciej, niż byś je przeczytał.  ","Melhor contar ovelhas do que zumbis.\n\nMuitos fatores influenciam quanto tempo leva para você adormecer, e não serão listados aqui porque você provavelmente vai adormecer mais rápido do que levaria para lê-los.","Лучше считать овец, чем зомби.\n\nМного факторов влияет на то, сколько времени потребуется, чтобы уснуть, и здесь они не будут перечислены, потому что ты, вероятно, заснешь быстрее, чем успеешь их прочитать.  ",Koyun saymak zombileri saymaktan iyidir.\n\nNe kadar sürede uykuya dalacağınızı etkileyen birçok faktör var ve burada listelenmeyecek çünkü muhtemelen onları okumaktan daha hızlı uykuya dalacaksın.  ,还是数绵羊比较好，而不是僵尸。\n\n许多因素影响你入睡的时间，这里不会列出，因为你可能在阅读的时间里已经睡着了。,最好數羊而不是僵屍。\n\n有許多因素會影響你入睡的時間，這裡不會列舉，因為你可能會比閱讀這些信息的時間更快入睡。
SleepS1Tooltip,buffs,Buff,,,You close your eyes and try to sleep.,,Du schließt die Augen und versuchst zu schlafen.,Cierras los ojos e intentas dormir.,Tu fermes les yeux et essaies de dormir.,Chiudi gli occhi e cerchi di dormire.,目を閉じて眠ろうとしています。,눈을 감고 잠들려고 시도합니다.,Zamykasz oczy i próbujesz zasnąć.  ,Você fecha os olhos e tenta dormir.,Ты закрываешь глаза и пытаешься уснуть.  ,Gözlerini kapatıp uyumaya çalışıyorsun.  ,你闭上眼睛，试着入睡。,你閉上眼睛，嘗試入睡。
SleepS2,buffs,Buff,,,Sleeping…,,Schläft…,Durmiendo…,Dormir…,Dormendo…,寝ている…,수면 중…,Śpiąc…  ,Dormindo…,Спящий…  ,Uyku Halinde…  ,正在睡觉…,入睡中…
SleepS2Desc,buffs,Buff,,,"Good sleep promotes recovery.\nThe longer you sleep, the more you will recover.\n\nYou will wake up on your own if nothing else wakes you up first…",,"Guter Schlaf fördert die Erholung.\nJe länger du schläfst, desto mehr erholst du dich.\n\nDu wirst von selbst aufwachen, wenn nichts anderes dich vorher weckt...","Dormir bien promueve la recuperación.\nCuanto más duermas, más te recuperarás.\n\nTe despertarás por ti mismo si nada más te despierta antes…","Bien dormir favorise la récupération.\nPlus tu dors, plus tu te rétablis.\n\nTu te réveilleras tout seul si rien d'autre ne te réveille avant…","Dormire bene promuove il recupero.\nPiù dormi, più ti riprenderai.\n\nTi sveglierai da solo se niente altro ti sveglia prima…",良い睡眠は回復を促進します。\n長く寝るほど、より回復します。\n\n他に何も邪魔がなければ、自然に目が覚めます…,좋은 잠은 회복을 촉진합니다.\n잠을 더 많이 잘수록 더 많이 회복됩니다.\n\n다른 무엇이 당신을 깨우지 않으면 스스로 깨어날 것입니다…,"Dobry sen sprzyja regeneracji.\nIm więcej śpisz, tym lepiej się regenerujesz.\n\nObudzisz się sam, jeśli nic innego nie obudzi cię wcześniej…  ","Dormir bem promove a recuperação.\nQuanto mais você dormir, mais você se recuperará.\n\nVocê vai acordar sozinho se nada mais te acordar antes...","Хороший сон способствует восстановлению.\nЧем больше ты спишь, тем больше восстанавливаешься.\n\nТы проснешься сам, если ничто другое не разбудит тебя раньше...  ","İyi bir uyku iyileşmeyi destekler.\nNe kadar çok uyursan, o kadar iyileşirsin.\n\nBaşka bir şey seni uyandırmazsa kendi kendine uyanacaksın…  ",良好的睡眠有助于恢复。\n你睡得越多，恢复得越好。\n\n如果没有其他东西打扰你，你会自行醒来…,良好的睡眠有助於恢復。\n你睡得越多，恢復得越快。\n\n如果沒有其他因素打擾你，你會自動醒來...
