Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
zombieCowgirlFeralKhz,entityclasses,Entity,,,Feral Zombie Cowgirl,,Wildes Zombie-Cowgirl,Vaquera zombi salvaje,Cow-girl zombie sauvage,Cowgirl zombie selvaggia,フェラルゾンビカウガール,야생 좀비 카우걸,Dzika kowbojka zombie,Cowgirl zumbi feroz,Дикий зомби-ковбойша,Vahşi Zombi Kovboy Kız,野生僵尸女牛仔,野生殭屍女牛仔
zombieCowgirlRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Cowgirl,,Ausgestrahltes Zombie-Cowgirl,Vaquera zombi irradiada,Cowgirl zombie rayonnée,Cowgirl zombie irradiato,放射ゾンビカウガール,방사 좀비 카우걸,Napromieniowana kowbojka zombie,Cowgirl zumbi irradiada,Радиационная зомби-ковбойша,Yayılan Zombi Kovboy Kız,辐射僵尸女牛仔,輻射殭屍女牛仔
zombieFemaleKhz,entityclasses,Entity,,,Zombie Woman,,Zombie-Frau,mujer zombi,Femme zombie,Donna zombi,ゾンビウーマン,좀비우먼,Kobieta zombie,Mulher Zumbi,Женщина-зомби,Zombi Kadın,僵尸女人,殭屍女人
zombieFemaleFeralKhz,entityclasses,Entity,,,Feral Zombie Woman,,Wilde Zombiefrau,Mujer zombi salvaje,Femme zombie sauvage,Donna zombie selvaggia,野生のゾンビウーマン,야생 좀비 여자,Dzika kobieta zombie,Mulher zumbi feroz,Дикая женщина-зомби,Vahşi Zombi Kadın,野生僵尸女人,野生殭屍女人
zombieFemaleRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Woman,,Ausgestrahlte Zombiefrau,Mujer zombi irradiada,Femme zombie rayonnée,Donna zombie irradiata,放射線状のゾンビウーマン,방사능 좀비 여자,Napromieniowana kobieta zombie,Mulher Zumbi Radiada,Радиационная женщина-зомби,Yayılan Zombi Kadın,辐射僵尸女人,輻射殭屍女人
zombieFemaleLumberjackKhz,entityclasses,Entity,,,Zombie Female Lumberjack,,Zombie-Holzfällerin,Leñador zombi femenino,Bûcheron femelle zombie,Taglialegna femmina zombi,ゾンビの女性木こり,좀비 여성 벌목꾼,Kobieta zombie drwal,Lenhador Feminino Zumbi,Зомби-женщина-лесоруб,Zombi Kadın Oduncu,僵尸女伐木工,殭屍女伐木工
zombieFemaleLumberjackFeralKhz,entityclasses,Entity,,,Feral Zombie Female Lumberjack,,Wilder Zombie-Holzfäller,Leñador femenino zombi salvaje,Bûcheron femelle zombie sauvage,Boscaiolo femmina zombie selvaggio,野生のゾンビの女性木こり,야생 좀비 여성 벌목꾼,Dzika kobieta zombie drwal,Feral Zombie Feminino Lenhador,Дикий зомби-женщина-лесоруб,Vahşi Zombi Kadın Oduncu,野生僵尸女伐木工,野生殭屍女伐木工
zombieFemaleLumberjackRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Female Lumberjack,,Ausgestrahlter Zombie-Holzfäller,Leñador zombi irradiado,Bûcheron femelle zombie rayonné,Taglialegna femmina zombi irradiato,放射性ゾンビの女性木こり,방사형 좀비 여성 벌목꾼,Napromieniowana Kobieta Zombie Drwal,Lenhadora Feminina Zumbi Radiada,Радиационная зомби-женщина-лесоруб,Yayılan Zombi Kadın Oduncu,辐射僵尸女伐木工,輻射殭屍女伐木工
zombieFemaleOfficeKhz,entityclasses,Entity,,,Zombie Female Office Worker,,Zombie-Büroangestellte,Trabajadora de oficina zombie,Employée de bureau féminine zombie,Zombie impiegato femminile,ゾンビOL,좀비 여성 회사원,Pracownica biurowa zombie,Mulher zumbi trabalhadora de escritório,Зомби-офисная работница,Zombi Kadın Ofis Çalışanı,僵尸女上班族,殭屍女上班族
zombieFemaleOfficeFeralKhz,entityclasses,Entity,,,Feral Zombie Female Office Worker,,Wilde Zombie-Büroangestellte,Trabajadora de oficina femenina zombie salvaje,Employé de bureau féminin zombie sauvage,Feral Zombie impiegato femminile,フェラルゾンビ OL,야생 좀비 여성 회사원,Dzika pracownica biura zombie,Feral Zombie Mulher Trabalhadora de Escritório,Одичавшая офисная работница-зомби,Vahşi Zombi Kadın Ofis Çalışanı,野生僵尸女上班族,野生殭屍女上班族
zombieFemaleOfficeRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Female Office Worker,,Ausgestrahlte Zombie-Büroangestellte,Trabajadora de oficina zombie irradiada,Employée de bureau féminine zombie rayonnée,Impiegato femminile zombie irradiato,放射能ゾンビOL,방사 좀비 여성 회사원,Napromieniowana pracownica biurowa zombie,Trabalhadora de escritório feminina zumbi irradiada,Офисная работница-зомби-женщина,Yayılan Zombi Kadın Ofis Çalışanı,辐射僵尸女上班族,輻射殭屍女上班族
zombieFemaleSoldierKhz,entityclasses,Entity,,,Zombie Female Soldier,,Zombie-Soldatin,Mujer soldado zombie,Soldat zombie,Soldata zombi,ゾンビ女兵士,좀비 여군,Żołnierz-żołnierka zombie,Mulher Soldada Zumbi,Зомби-женщина-солдат,Zombi Kadın Asker,僵尸女兵,殭屍女兵
zombieFemaleSoldierFeralKhz,entityclasses,Entity,,,Feral Zombie Female Soldier,,Wilde Zombie-Soldatin,Mujer soldado zombie salvaje,Soldat zombie sauvage,Soldatassa feroce zombie,フェラルゾンビの女性兵士,야생 좀비 여성 군인,Dzika żołnierzka zombie,Feral Zombie Mulher Soldada,Дикая зомби-женщина-солдат,Vahşi Zombi Kadın Asker,野性僵尸女兵,野殭屍女兵
zombieFemaleSoldierRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Female Soldier,,Ausgestrahlte Zombie-Soldatin,Mujer soldado zombie irradiada,Soldat zombie rayonné,Soldata zombie irradiata,放射能ゾンビ女兵士,방사능 좀비 여성 군인,Napromieniowana żołnierzka zombie,Soldada Zumbi Radiada,Облученная зомби-женщина-солдат,Yayılan Zombi Kadın Asker,辐射僵尸女兵,輻射殭屍女兵
zombieFirefighterKhz,entityclasses,Entity,,,Zombie Firefighter,,Zombie-Feuerwehrmann,Bombero zombi,Pompier zombie,Vigile del fuoco zombi,ゾンビ消防士,좀비 소방관,Strażak zombie,Bombeiro Zumbi,Зомби-пожарный,Zombi İtfaiyeci,僵尸消防员,殭屍消防員
zombieFirefighterFeralKhz,entityclasses,Entity,,,Feral Zombie Firefighter,,Wilder Zombie-Feuerwehrmann,Bombero zombi salvaje,Pompier zombie sauvage,Vigile del fuoco zombi feroce,野生のゾンビ消防士,야생 좀비 소방관,Dziki strażak zombie,Bombeiro Zumbi Feral,Дикий зомби-пожарный,Vahşi Zombi İtfaiyeci,野生僵尸消防员,野生殭屍消防員
zombieFirefighterRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Firefighter,,Ausgestrahlter Zombie-Feuerwehrmann,Bombero zombi irradiado,Pompier zombie rayonné,Pompiere zombi irradiato,放射能を帯びたゾンビ消防士,방사 좀비 소방관,Napromieniowany strażak zombie,Bombeiro Zumbi Radiado,Радиационный зомби-пожарный,Yayılan Zombi İtfaiyeci,辐射僵尸消防员,輻射殭屍消防員
zombieMaleKhz,entityclasses,Entity,,,Zombie Man,,Zombie-Mann,hombre zombi,Homme zombie,L'uomo zombi,ゾンビマン,좀비맨,Człowiek zombie,Homem Zumbi,Зомби-человек,Zombi Adam,僵尸人,殭屍人
zombieMaleFeralKhz,entityclasses,Entity,,,Feral Zombie Man,,Wilder Zombie-Mann,Hombre zombi salvaje,Homme zombie sauvage,Il feroce uomo zombi,野生のゾンビマン,야생 좀비맨,Dziki Zombie,Homem Zumbi Feroz,Дикий человек-зомби,Vahşi Zombi Adam,野生僵尸人,野生殭屍人
zombieMaleRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Man,,Ausgestrahlter Zombie-Mann,Hombre zombi irradiado,Homme zombie rayonné,Uomo zombi irradiato,放射性ゾンビマン,방사능 좀비맨,Napromieniowany człowiek zombie,Homem Zumbi Radiado,Радиационный человек-зомби,Yayılan Zombi Adam,辐射僵尸人,輻射殭屍人
zombieMaleScrubsKhz,entityclasses,Entity,,,Healthcare Worker,,Gesundheitspfleger,Trabajador de la salud,Travailleur de la santé,Operatore sanitario,医療従事者,의료 종사자,Pracownik służby zdrowia,Profissional de saúde,Медицинский работник,Sağlık çalışanı,医护人员,醫護人員
zombieMaleScrubsFeralKhz,entityclasses,Entity,,,Feral Healthcare Worker,,Feraler Mitarbeiter im Gesundheitswesen,Trabajador sanitario salvaje,Travailleur de la santé sauvage,Ferale operatore sanitario,野生の医療従事者,야생 의료 종사자,Dziki pracownik służby zdrowia,Feral Trabalhador de Saúde,Дикий медицинский работник,Feral Sağlık Çalışanı,野生医护人员,野生醫護人員
zombieMaleScrubsRadiatedKhz,entityclasses,Entity,,,Radiated Healthcare Worker,,Verstrahlter Mitarbeiter im Gesundheitswesen,Trabajador sanitario irradiado,Travailleur de la santé rayonné,Operatore sanitario radiato,放射線を受けた医療従事者,방사선 의료 종사자,Napromieniowany pracownik służby zdrowia,Trabalhador de saúde irradiado,Облученный медицинский работник,Radyasyona Maruz Kalan Sağlık Çalışanı,辐射医护人员,輻射醫護人員
zombieMaleSoldierKhz,entityclasses,Entity,,,Zombie Male Soldier,,Zombie-männlicher Soldat,Soldado zombie,Soldat mâle zombie,Soldato maschio zombi,ゾンビ男性兵士,좀비 남자 군인,Żołnierz zombie,Soldado zumbi masculino,Зомби-солдат,Zombi Erkek Asker,僵尸男士兵,殭屍男士兵
zombieMaleSoldierFeralKhz,entityclasses,Entity,,,Feral Zombie Male Soldier,,Wilder Zombie-Soldat,Soldado masculino zombi salvaje,Soldat mâle zombie sauvage,Soldato maschio zombie selvaggio,フェラルゾンビ男性兵士,야생 좀비 남자 군인,Dziki żołnierz zombie,Soldado masculino zumbi feroz,Дикий зомби-солдат,Vahşi Zombi Erkek Asker,野性僵尸男士兵,野殭屍男士兵
zombieMaleSoldierRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Male Soldier,,Ausgestrahlter männlicher Zombie-Soldat,Soldado Zombi Radiado,Soldat zombie rayonné,Soldato maschio zombie irradiato,放射能を帯びたゾンビ男性兵士,방사 좀비 남자 군인,Napromieniowany żołnierz zombie,Soldado Masculino Zumbi Radiado,Облученный зомби-солдат,Yayılan Zombi Erkek Asker,辐射僵尸男兵,輻射殭屍男兵
zombiePolicewomanKhz,entityclasses,Entity,,,Zombie Policewoman,,Zombie-Polizistin,Mujer policía zombi,Policière zombie,Poliziotta zombi,ゾンビ婦警,좀비 경찰,Policjantka zombie,Policial Zumbi,Зомби-полицейский,Zombi Kadın Polis,僵尸女警,殭屍女警
zombiePolicewomanFeralKhz,entityclasses,Entity,,,Feral Zombie Policewoman,,Wilde Zombie-Polizistin,Mujer policía zombie salvaje,Policière zombie sauvage,Feriale poliziotta zombi,野生のゾンビ婦人警官,야생 좀비 경찰,Policjantka z dzikim zombie,Policial zumbi feroz,Дикий зомби-полицейский,Vahşi Zombi Kadın Polis,野生僵尸女警,野生殭屍女警
zombiePolicewomanRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Policewoman,,Verstrahlte Zombie-Polizistin,Mujer policía zombie irradiada,Policière zombie rayonnée,Poliziotta zombie irradiata,放射能を帯びたゾンビ婦人警官,방사능 좀비 경찰,Napromieniowana policjantka zombie,Policial Zumbi Radiada,Радиационная зомби-полицейская,Yayılan Zombi Kadın Polis,辐射僵尸女警,輻射殭屍女警
